id,episode_id,source_frame,role_group,secondary_role_group,name,role_detail,role_group_normalized,role_group_corrected,scene_position,original_frame_number,reviewed_status,is_person,normalized_name,normalized_name_with_nickname,assigned_code,code_assignment_status,imdb_matches,imdb_name,metadata
1,8_e_mezzo,scene_001_static_002_num00140_sim83.jpg,Distributors,,THE CRITERION COLLECTI,,Distributors,,first_half,140,pending,0,the criterion collecti,,cm0000010,internal_assigned,,,"{""timestamp"": ""2026-07-17T15:26:47.655733+00:00"", ""model"": ""gpt-5.6-sol"", ""api_version"": ""2025-04-01-preview""}"
2,8_e_mezzo,scene_002_static_000_num00363_sim95.jpg,Miscellaneous Companies,,THE MEDIASET COLLECTION,il film è stato restaurato da,Miscellaneous Companies,,first_half,363,pending,0,the mediaset collection,,cm0000011,internal_assigned,,,"{""timestamp"": ""2026-07-17T15:26:47.655733+00:00"", ""model"": ""gpt-5.6-sol"", ""api_version"": ""2025-04-01-preview""}"
3,8_e_mezzo,scene_002_static_000_num00363_sim95.jpg,Miscellaneous Companies,,CINEMA FOREVER,il film è stato restaurato da,Miscellaneous Companies,,first_half,363,pending,0,cinema forever,,cm0000012,internal_assigned,,,"{""timestamp"": ""2026-07-17T15:26:47.655733+00:00"", ""model"": ""gpt-5.6-sol"", ""api_version"": ""2025-04-01-preview""}"
4,8_e_mezzo,scene_002_static_000_num00363_sim95.jpg,Thanks,,CARLO BERNASCONI,Dedicato a,Thanks,,first_half,363,pending,1,carlo bernasconi,,gp0000005,internal_assigned,,,"{""timestamp"": ""2026-07-17T15:26:47.655733+00:00"", ""model"": ""gpt-5.6-sol"", ""api_version"": ""2025-04-01-preview""}"
5,8_e_mezzo,scene_002_static_002_num00591_sim99.jpg,Miscellaneous Companies,,SCUOLA NAZIONALE DI CINEMA Centro Sperimentale di Cinematografia,in collaborazione con,Miscellaneous Companies,,first_half,591,pending,0,scuola nazionale di cinema centro sperimentale di cinematografia,,cm0000013,internal_assigned,,,"{""timestamp"": ""2026-07-17T15:26:47.655733+00:00"", ""model"": ""gpt-5.6-sol"", ""api_version"": ""2025-04-01-preview""}"
6,8_e_mezzo,scene_002_static_003_num00795_sim33.jpg,Production Companies,,Cinecittà Holding,e con,Production Companies,,first_half,795,pending,0,cinecittà holding,,cm0000014,internal_assigned,,,"{""timestamp"": ""2026-07-17T15:26:47.655733+00:00"", ""model"": ""gpt-5.6-sol"", ""api_version"": ""2025-04-01-preview""}"
7,8_e_mezzo,scene_002_static_005_num00939_sim99.jpg,Miscellaneous Companies,,Cinecittà Studios,restauro effettuato presso gli stabilimenti,Miscellaneous Companies,,first_half,939,pending,0,cinecittà studios,,cm0000015,internal_assigned,,,"{""timestamp"": ""2026-07-17T15:26:47.655733+00:00"", ""model"": ""gpt-5.6-sol"", ""api_version"": ""2025-04-01-preview""}"
8,8_e_mezzo,scene_002_static_005_num00939_sim99.jpg,Miscellaneous Companies,,Videorecording,restauro effettuato presso gli stabilimenti,Miscellaneous Companies,,first_half,939,pending,0,videorecording,,cm0000016,internal_assigned,,,"{""timestamp"": ""2026-07-17T15:26:47.655733+00:00"", ""model"": ""gpt-5.6-sol"", ""api_version"": ""2025-04-01-preview""}"
9,8_e_mezzo,scene_002_static_005_num00939_sim99.jpg,Additional Crew,,Manrico Masini,consulenza tecnica,Additional Crew,,first_half,939,pending,1,manrico masini,,gp0000006,internal_assigned,,,"{""timestamp"": ""2026-07-17T15:26:47.655733+00:00"", ""model"": ""gpt-5.6-sol"", ""api_version"": ""2025-04-01-preview""}"
10,8_e_mezzo,scene_002_static_005_num00939_sim99.jpg,Thanks,,Vincenzo Verzini,un particolare ringraziamento a,Thanks,,first_half,939,pending,1,vincenzo verzini,,gp0000007,internal_assigned,,,"{""timestamp"": ""2026-07-17T15:26:47.655733+00:00"", ""model"": ""gpt-5.6-sol"", ""api_version"": ""2025-04-01-preview""}"
11,8_e_mezzo,"scene_002_static_007_num01155_sim100.jpg,scene_002_static_009_num01251_sim51.jpg",Miscellaneous Companies,,GRUPPO MEDIASET,CINEMA FOREVER è un’iniziativa,Miscellaneous Companies,,first_half,"1155,1251",pending,0,gruppo mediaset,,cm0000017,internal_assigned,,,"{""timestamp"": ""2026-07-17T15:26:47.655733+00:00"", ""model"": ""gpt-5.6-sol"", ""api_version"": ""2025-04-01-preview""}"
12,8_e_mezzo,scene_005_static_002_num02165_sim73.jpg,Producers,,ANGELO RIZZOLI,PRODOTTO DA,Producers,,first_half,2165,pending,1,angelo rizzoli,,nm0729939,auto_assigned,,Angelo Rizzoli,"{""timestamp"": ""2026-07-17T15:26:47.655733+00:00"", ""model"": ""gpt-5.6-sol"", ""api_version"": ""2025-04-01-preview""}"
13,8_e_mezzo,"scene_005_static_002_num02165_sim73.jpg,scene_006_static_003_num02459_sim84.jpg",Writers,,FEDERICO FELLINI,IDEATO E DIRETTO DA,Writers,,first_half,"2165,2459",pending,1,federico fellini,,nm0000019,auto_assigned,,Federico Fellini,"{""timestamp"": ""2026-07-17T15:26:47.655733+00:00"", ""model"": ""gpt-5.6-sol"", ""api_version"": ""2025-04-01-preview""}"
