id,episode_id,source_frame,role_group,secondary_role_group,name,role_detail,role_group_normalized,role_group_corrected,scene_position,original_frame_number,reviewed_status,is_person,normalized_name,normalized_name_with_nickname,assigned_code,code_assignment_status,imdb_matches,imdb_name,metadata
1,8_e_mezzo,scene_001_static_002_num00140_sim83.jpg,Miscellaneous Companies,,THE CRITERION COLLECTION,,Miscellaneous Companies,,first_half,140,pending,0,the criterion collection,,cm0000109,internal_assigned,,,"{""timestamp"": ""2026-07-20T14:18:01.730988+00:00"", ""model"": ""gpt-5.6-terra"", ""api_version"": ""2025-04-01-preview""}"
2,8_e_mezzo,scene_002_static_000_num00363_sim95.jpg,Miscellaneous Companies,,THE MEDIAS E T COLLECTION,il film è stato restaurato da,Miscellaneous Companies,,first_half,363,pending,0,the medias e t collection,,cm0000110,internal_assigned,,,"{""timestamp"": ""2026-07-20T14:18:01.730988+00:00"", ""model"": ""gpt-5.6-terra"", ""api_version"": ""2025-04-01-preview""}"
3,8_e_mezzo,scene_002_static_000_num00363_sim95.jpg,Thanks,,CARLO BERNASCONI,Dedicato a,Thanks,,first_half,363,pending,1,carlo bernasconi,,gp0000065,internal_assigned,,,"{""timestamp"": ""2026-07-20T14:18:01.730988+00:00"", ""model"": ""gpt-5.6-terra"", ""api_version"": ""2025-04-01-preview""}"
4,8_e_mezzo,scene_002_static_002_num00591_sim99.jpg,Miscellaneous Companies,,SCUOLA NAZIONALE DI CINEMA,in collaborazione con,Miscellaneous Companies,,first_half,591,pending,0,scuola nazionale di cinema,,cm0000108,internal_assigned,,,"{""timestamp"": ""2026-07-20T14:18:01.730988+00:00"", ""model"": ""gpt-5.6-terra"", ""api_version"": ""2025-04-01-preview""}"
5,8_e_mezzo,scene_002_static_002_num00591_sim99.jpg,Miscellaneous Companies,,Centro Sperimentale di Cinematografia,in collaborazione con,Miscellaneous Companies,,first_half,591,pending,0,centro sperimentale di cinematografia,,cm0000102,internal_assigned,,,"{""timestamp"": ""2026-07-20T14:18:01.730988+00:00"", ""model"": ""gpt-5.6-terra"", ""api_version"": ""2025-04-01-preview""}"
6,8_e_mezzo,scene_002_static_003_num00795_sim33.jpg,Miscellaneous Companies,,Cinecittà Holding,e con,Miscellaneous Companies,,first_half,795,pending,0,cinecittà holding,,cm0000103,internal_assigned,,,"{""timestamp"": ""2026-07-20T14:18:01.730988+00:00"", ""model"": ""gpt-5.6-terra"", ""api_version"": ""2025-04-01-preview""}"
7,8_e_mezzo,scene_002_static_005_num00939_sim99.jpg,Miscellaneous Companies,,Cinecittà Studios,restauro effettuato presso gli stabilimenti,Miscellaneous Companies,,first_half,939,pending,0,cinecittà studios,,cm0000104,internal_assigned,,,"{""timestamp"": ""2026-07-20T14:18:01.730988+00:00"", ""model"": ""gpt-5.6-terra"", ""api_version"": ""2025-04-01-preview""}"
8,8_e_mezzo,scene_002_static_005_num00939_sim99.jpg,Miscellaneous Companies,,Videorecording,restauro effettuato presso gli stabilimenti,Miscellaneous Companies,,first_half,939,pending,0,videorecording,,cm0000112,internal_assigned,,,"{""timestamp"": ""2026-07-20T14:18:01.730988+00:00"", ""model"": ""gpt-5.6-terra"", ""api_version"": ""2025-04-01-preview""}"
9,8_e_mezzo,scene_002_static_005_num00939_sim99.jpg,Additional Crew,,Manrico Masini,consulenza tecnica,Additional Crew,,first_half,939,pending,1,manrico masini,,gp0000069,internal_assigned,,,"{""timestamp"": ""2026-07-20T14:18:01.730988+00:00"", ""model"": ""gpt-5.6-terra"", ""api_version"": ""2025-04-01-preview""}"
10,8_e_mezzo,scene_002_static_005_num00939_sim99.jpg,Thanks,,Vincenzo Verzini,un particolare ringraziamento a,Thanks,,first_half,939,pending,1,vincenzo verzini,,gp0000070,internal_assigned,,,"{""timestamp"": ""2026-07-20T14:18:01.730988+00:00"", ""model"": ""gpt-5.6-terra"", ""api_version"": ""2025-04-01-preview""}"
