episode_id,name,role_detail,role_group_normalized
8_1-2_End,Federico Fellini,Ideato e diretto da,Directors
8_1-2_End,Angelo Rizzoli,Prodotto da,Producers
8_1-2_End,Federico Fellini,Soggetto,Writers
8_1-2_End,Ennio Flaiano,Soggetto,Writers
8_1-2_End,Marcello Mastroianni,,Cast
8_1-2_End,Tullio Pinelli,Sceneggiatura,Writers
8_1-2_End,Brunello Rondi,Sceneggiatura,Writers
8_1-2_End,CLAUDIA CARDINALE,,Cast
8_1-2_End,ANOUK AIMEE,,Cast
8_1-2_End,SANDRAA MIEO,,Cast
8_1-2_End,Sandra Milo,,Cast
8_1-2_End,Rossella Falk,,Cast
8_1-2_End,Barbara Steele,,Cast
8_1-2_End,MADELEINE LEBEAU,,Cast
8_1-2_End,CATERINA BORATTO,,Cast
8_1-2_End,EDRA GALE,,Cast
8_1-2_End,GUIDO ALBERTI,,Cast
8_1-2_End,MARIO CONOCCHIA,,Cast
8_1-2_End,BRUNO AGOSTINI,,Cast
8_1-2_End,CESARINO MICELI PICARDI,,Cast
8_1-2_End,JEAN ROUGEUL,,Cast
8_1-2_End,MARIO PISU,,Cast
8_1-2_End,YVONNE CASADEI,,Cast
8_1-2_End,IAN DALLAS,,Cast
8_1-2_End,MINO DORO,,Cast
8_1-2_End,NADINE SANDERS,,Cast
8_1-2_End,GEORGIA SIMMONS,,Cast
8_1-2_End,HEDY VESSEL,,Cast
8_1-2_End,Tito Masini,,Cast
8_1-2_End,Annie Gorassini,,Cast
8_1-2_End,Mark Herron,,Cast
8_1-2_End,Neil Robinson,,Cast
8_1-2_End,Eugene Walter,,Cast
8_1-2_End,Gilda Dahlberg,,Cast
8_1-2_End,Mary Indovino,,Cast
8_1-2_End,Francesco Rigamonti,,Cast
8_1-2_End,Marco Gemini,,Cast
8_1-2_End,Rossella Como,,Cast
8_1-2_End,Marisa Colomber,,Cast
8_1-2_End,Elisabetta Catalano,,Cast
8_1-2_End,Hazel Rogers,,Cast
8_1-2_End,Mario Tarchetti,,Cast
8_1-2_End,Frazier Rippy,,Cast
8_1-2_End,Giulio Paradisi,(c.s.c),Cast
8_1-2_End,Giuditta Rissone,e con,Cast
8_1-2_End,Annibale Ninchi,e con,Cast
8_1-2_End,Clemente Fracassi,Organizzazione Generale,Production Managers
8_1-2_End,Piero Gherardi,Scenografia e Costumi,Production Designers
8_1-2_End,Gianni Di Venanzo,Direttore della Fotografia,Cinematographers
8_1-2_End,Leo Catozzo,Montaggio,Editors
8_1-2_End,Adriana Olasio,Assistente,Editorial Department
8_1-2_End,Nello Meniconi,Direttore di produzione,Production Managers
8_1-2_End,Nino Rota,,Composers
8_1-2_End,Alessandro von Normann,II° Direttore,Second Unit Directors or Assistant Directors
8_1-2_End,Mario Basili,Ispettore,Production Managers
8_1-2_End,BRUNELLO RONDI,COLLABORAZIONE ARTISTICA,Additional Crew
8_1-2_End,VITO ANZALONE,ARREDAMENTO,Art Department
8_1-2_End,GUIDARINO GUIDI,AUTO REG.,Second Unit Directors or Assistant Directors
8_1-2_End,ORIETTA NASALLI ROCCA,ASS. COSTUMI,Costume and Wardrobe Department
8_1-2_End,GIULIO PARADISI,ASSISTENTI,Additional Crew
8_1-2_End,FRANCESCO ALUIGI,ASSISTENTI,Additional Crew
8_1-2_End,LUCIANO RICCERI,ASS. SCENOGRAFO,Art Department
8_1-2_End,PASQUALE DE SANTIS,OPERATORE,Camera and Electrical Department
8_1-2_End,MIRELLA GAMACCHIO,SEGR.ED.,Script and Continuity Department
8_1-2_End,OTELLO FAVA,CAPO TRUCCO,Makeup Department
8_1-2_End,ALBINO MORANDIN,SEGR. DI PRODUZ.,Production Managers
8_1-2_End,ANGELO IACONO,SEGR. DI PRODUZ.,Production Managers
8_1-2_End,RENATA MAGNANTI,PARRUCCHIERA,Makeup Department
8_1-2_End,CLARA POGGI,CAPO SARTA,Costume and Wardrobe Department
8_1-2_End,MARIO FARAONI,FONICI,Sound Department
8_1-2_End,ALBERTO BARTOLOMEI,FONICI,Sound Department
8_1-2_End,DUPONT,NEGATIVI,Miscellaneous Companies
8_1-2_End,ISTITUTO NAZIONALE LUCE,SVILUPPO E STAMPA,Miscellaneous Companies
8_1-2_End,ENZO VERZINI,TECNICO,Additional Crew
8_1-2_End,Titanus,PRODUZIONE ESEGUITA NEGLI STABILIMENTI,Production Companies
8_1-2_End,CORINTH FILMS,,Production Companies
8_1-2_End,JEAN ROUGEU,,Cast
8_1-2_End,GIANNI DI VENANZO,DIRETTORE DELLA FOTOGRAFIA,Cinematographers
8_1-2_End,NINO ROTA,MUSICA,Composers
8_1-2_End,EDIZIONI MUSICALI CAM,,Miscellaneous Companies
8_1-2_End,CINERIZ,UNA PRODUZIONE,Production Companies
8_1-2_Opening,Angelo Rizzoli,presenta,Producers
8_1-2_Opening,Federico Fellini,di,Directors
Chernobyl_S01E01_End,Johan Renck,Directed by,Directors
Chernobyl_S01E01_End,Craig Mazin,Written by,Writers
Chernobyl_S01E01_End,Carolyn Strauss,Executive Producer,Producers
Chernobyl_S01E01_End,Jane Featherstone,Executive Producer,Producers
Chernobyl_S01E01_End,Sanne Wohlenberg,Producer,Producers
Chernobyl_S01E01_End,JARED HARRIS,,Cast
Chernobyl_S01E01_End,STELLAN SKARSGÅRD,,Cast
Chernobyl_S01E01_End,PAUL RITTER,,Cast
Chernobyl_S01E01_End,JESSIE BUCKLEY,,Cast
Chernobyl_S01E01_End,ADAM NAGAITIS,,Cast
Chernobyl_S01E01_End,CON O'NEILL,,Cast
Chernobyl_S01E01_End,ADRIAN RAWLINS,,Cast
Chernobyl_S01E01_End,SAM TROUGHTON,,Cast
Chernobyl_S01E01_End,ROBERT EMMS,,Cast
Chernobyl_S01E01_End,Nina Gold,Casting By,Casting Directors
Chernobyl_S01E01_End,Robert Sterne,Casting By,Casting Directors
Chernobyl_S01E01_End,Jakob Ihre FSF,Director of Photography,Cinematographers
Chernobyl_S01E01_End,Luke Hull,Production Designer,Production Designers
Chernobyl_S01E01_End,Jinx Godfrey,Editor,Editors
Chernobyl_S01E01_End,Hildur Guðnadóttir,Music by,Composers
Chernobyl_S01E01_End,Odile Dicks-Mireaux,Costume Designer,Costume Designers
Chernobyl_S01E01_End,DANIEL PARKER,MAKE-UP & PROSTHETICS DESIGNER,Makeup Department
Chernobyl_S01E01_End,ROB HOW,LINE PRODUCER,Producers
Chernobyl_S01E01_End,LINDSAY McFARLANE,VFX PRODUCER,Visual Effects
Chernobyl_S01E01_End,DAVID MEANTI,1ST ASSISTANT DIRECTOR,Second Unit Directors or Assistant Directors
Chernobyl_S01E01_End,JACQUELINE LESKO,CO-PRODUCER,Producers
Chernobyl_S01E01_End,LINETA MISEIKYTE,LITHUANIAN LINE PRODUCER,Producers
Chernobyl_S01E01_End,WILLIAM O'TOOLE,FINANCIAL CONTROLLER,Additional Crew
Chernobyl_S01E01_End,ELAINE WAUGH,POST PRODUCTION SUPERVISOR,Additional Crew
Chernobyl_S01E01_End,MICHAEL SHAEFFER,BLOND MAN,Cast
Chernobyl_S01E01_End,ADAM NAGAITS,VASILY IGNATENKO,Cast
Chernobyl_S01E01_End,JOSHUA LEESE,KIRSCHENBAUM,Cast
Chernobyl_S01E01_End,ADAM LUNDGREN,BRAZHNIK,Cast
Chernobyl_S01E01_End,KARL DAVIES,VIKTOR PROSKURYAKOV,Cast
Chernobyl_S01E01_End,PAULIUS MARKEVIČIUS,ALEKSANDR KUDRYAVSTEV,Cast
Chernobyl_S01E01_End,JAY SIMPSON,PEREVOZCHENKO,Cast
Chernobyl_S01E01_End,BILLY POSTLETHWAITE,BORIS STOLYARCHUK,Cast
Chernobyl_S01E01_End,ROSS ARMSTRONG,NIKOLAI GORBACHENKO,Cast
Chernobyl_S01E01_End,DOUGGIE McMEKIN,YUVCHENKO,Cast
Chernobyl_S01E01_End,KAROLIS KASPERAVIČIUS,VIKTOR DEGTARYENKO,Cast
Chernobyl_S01E01_End,SAM STRIKE,MISHA,Cast
Chernobyl_S01E01_End,GERARD KEARNS,PRAVIK,Cast
Chernobyl_S01E01_End,SAMMY HAYMAN,TITENOK,Cast
Chernobyl_S01E01_End,POVILAS JATKEVIČIUS,KIBENOK,Cast
Chernobyl_S01E01_End,LAURA ELPHINSTONE,OKSANA,Cast
Chernobyl_S01E01_End,MICHAEL SOCHA,MIKHAIL,Cast
Chernobyl_S01E01_End,NADIA CLIFFORD,DR. SVETLANA ZINCHENKO,Cast
Chernobyl_S01E01_End,RON COOK,OLD MATERNITY DOCTOR,Cast
Chernobyl_S01E01_End,JAN RIČICA,OKSANA'S KID,Cast
Chernobyl_S01E01_End,MATAS DIRGINČIUS,VLADIMIR TISHCHURA,Cast
Chernobyl_S01E01_End,JAMIE SIVES,SITNIKOV,Cast
Chernobyl_S01E01_End,CAOLAN BYRNE,DAY SHIFT WORKER,Cast
Chernobyl_S01E01_End,STEPHEN BISLAND,NIGHT SHIFT WORKER,Cast
Chernobyl_S01E01_End,ALEX BLAKE,PETROVICH,Cast
Chernobyl_S01E01_End,DONALD SUMPTER,ZHARKOV,Cast
Chernobyl_S01E01_End,GARY CONNERY,STUNT COORDINATORS,Stunts
Chernobyl_S01E01_End,GARY KANE,STUNT COORDINATORS,Stunts
Chernobyl_S01E01_End,SAULIUS JANAVIČIUS,STUNT COORDINATORS,Stunts
Chernobyl_S01E01_End,PETRAS PIVORIŪNAS,STUNT DOUBLE FOR ADAM NAGAITAS,Stunts
Chernobyl_S01E01_End,STANISLAV SAMUCHOV,STUNT PERFORMERS,Stunts
Chernobyl_S01E01_End,MARIUS JANUŠONIS,STUNT PERFORMERS,Stunts
Chernobyl_S01E01_End,JEVGENIJ KIRILOV,STUNT PERFORMERS,Stunts
Chernobyl_S01E01_End,VLADISLAV JACUKEVIČ,STUNT PERFORMERS,Stunts
Chernobyl_S01E01_End,EDVINAS BRASAS,STUNT PERFORMERS,Stunts
Chernobyl_S01E01_End,CHEYENNE CONWAY,PRODUCTION MANAGERS,Production Managers
Chernobyl_S01E01_End,ARNAS RINGAITIS,PRODUCTION MANAGERS,Production Managers
Chernobyl_S01E01_End,NICOLA MORROW,PRODUCTION MANAGERS,Production Managers
Chernobyl_S01E01_End,MANTAUTAS KVEDARAS,PRODUCTION MANAGERS,Production Managers
Chernobyl_S01E01_End,POLLY JEFFERIES,PRODUCTION COORDINATORS,Production Managers
Chernobyl_S01E01_End,IEVA SVITOJUTE,PRODUCTION COORDINATORS,Production Managers
Chernobyl_S01E01_End,BIRUTE MASAITYTE-JUDICKIENE,ASSISTANT PRODUCTION COORDINATORS,Production Managers
Chernobyl_S01E01_End,UNE LIANDZERGYTE,ASSISTANT PRODUCTION COORDINATORS,Production Managers
Chernobyl_S01E01_End,AISTE BORJAS,ASSISTANT PRODUCTION COORDINATORS,Production Managers
Chernobyl_S01E01_End,MINDAUGAS BLONSKIS,TRAVEL COORDINATOR,Production Managers
Chernobyl_S01E01_End,AMY SHARMAN,SHIPPING COORDINATOR,Production Managers
Chernobyl_S01E01_End,AUKSE VEITAITE,PRODUCTION SECRETARIES,Production Managers
Chernobyl_S01E01_End,EGLE ZAJANKAUSKAITE,PRODUCTION ASSISTANT,Production Managers
Chernobyl_S01E01_End,TOMAS ISAJEVAS,OFFICE RUNNERS,Production Managers
Chernobyl_S01E01_End,PETRAS PIENAUSKAS,OFFICE RUNNERS,Production Managers
Chernobyl_S01E01_End,MARTYNAS BUDRYS,OFFICE RUNNERS,Production Managers
Chernobyl_S01E01_End,RITA STRUZIENE,PRODUCTION ACCOUNTANT,Production Managers
