nome;is_person;role_detail;role_group;numero_episodio;imdb_nconst_88;nome_corretto_imdb_88;imdb_action_88;imdb_nconst_90;nome_corretto_imdb_90;imdb_action_90;imdb_nconst_92;nome_corretto_imdb_92;imdb_action_92;imdb_nconst_94;nome_corretto_imdb_94;imdb_action_94;imdb_nconst_96;nome_corretto_imdb_96;imdb_action_96;imdb_nconst_98;nome_corretto_imdb_98;imdb_action_98;imdb_nconst_99;nome_corretto_imdb_99;imdb_action_99;HUMAN nome imdb corretto;HUMAN codice imdb corretto
 Ángel de Gracia;TRUE;DIRECTOR;Dubbing;Dark S01E09;nm2640852;Ángel de Gracia;A;nm2640852;Ángel de Gracia;A;nm2640852;Ángel de Gracia;A;nm2640852;Ángel de Gracia;A;nm2640852;Ángel de Gracia;A;nm2640852;Ángel de Gracia;A;nm2640852;Ángel de Gracia;A;;
"""BUTCH"" MONTGOMERY";TRUE;Propmaker Foremen;Property Department;Fight Club;;"""BUTCH"" MONTGOMERY";X;;"""BUTCH"" MONTGOMERY";X;;"""BUTCH"" MONTGOMERY";X;;"""BUTCH"" MONTGOMERY";X;;"""BUTCH"" MONTGOMERY";X;;"""BUTCH"" MONTGOMERY";X;;"""BUTCH"" MONTGOMERY";X;;
"""FAST EDDIE""";TRUE;Sound Mixer;Sound Department;Hill Street Blues S01E13;;"""FAST EDDIE""";X;;"""FAST EDDIE""";X;;"""FAST EDDIE""";X;;"""FAST EDDIE""";X;;"""FAST EDDIE""";X;;"""FAST EDDIE""";X;;"""FAST EDDIE""";X;;
"""TOTE"" MARTÍN BARBA MARTÍNEZ";TRUE;TÃ©cnicos FX - In Extremis Film Services;Special Effects;El desorden que dejas S01E03;;"""TOTE"" MARTÍN BARBA MARTÍNEZ";X;;"""TOTE"" MARTÍN BARBA MARTÍNEZ";X;;"""TOTE"" MARTÍN BARBA MARTÍNEZ";X;;"""TOTE"" MARTÍN BARBA MARTÍNEZ";X;;"""TOTE"" MARTÍN BARBA MARTÍNEZ";X;;"""TOTE"" MARTÍN BARBA MARTÍNEZ";X;;"""TOTE"" MARTÍN BARBA MARTÍNEZ";X;;
A. D. FLOWERS;TRUE;Special Effects Coordinators;Special Effects;Apocalypse Now;nm0283166;A.D. Flowers;A;nm0283166;A.D. Flowers;A;nm0283166;A.D. Flowers;A;nm0283166;A.D. Flowers;A;nm0283166;A.D. Flowers;A;nm0283166;A.D. Flowers;A;nm0283166;A.D. Flowers;A;;
A. Ginsberg;TRUE;LES JOURS TRISTES | NAOMI;Soundtrack;Amelie;;A. Ginsberg;X;;A. Ginsberg;X;;A. Ginsberg;X;;A. Ginsberg;X;;A. Ginsberg;X;;A. Ginsberg;X;;A. Ginsberg;X;;
A. Herzog Jr;TRUE;THE CHILD;Soundtrack;Amelie;;A. Herzog Jr;X;;A. Herzog Jr;X;;A. Herzog Jr;X;;A. Herzog Jr;X;;A. Herzog Jr;X;;A. Herzog Jr;X;;A. Herzog Jr;X;;
A. Lennox;TRUE;THERE MUST BE AN ANGEL (PLAYING WITH MY HEART);Soundtrack;La grande bellezza;nm6412728;Ari Lennox;M;;A. Lennox;X;;A. Lennox;X;;A. Lennox;X;;A. Lennox;X;;A. Lennox;X;;A. Lennox;X;Annie Lennox;nm0005142
A. Pärt;TRUE;MY HEARTâS IN THE HIGHLANDS;Soundtrack;La grande bellezza;;A. Pärt;X;;A. Pärt;X;;A. Pärt;X;;A. Pärt;X;;A. Pärt;X;;A. Pärt;X;;A. Pärt;X;;
A. Stanley;TRUE;WE NO SPEAK AMERICANO;Soundtrack;La grande bellezza;;A. Stanley;X;;A. Stanley;X;;A. Stanley;X;;A. Stanley;X;;A. Stanley;X;;A. Stanley;X;;A. Stanley;X;;
