nome;is_person;role_detail;role_group;numero_episodio;normalized_name;normalized_name_with_nickname;imdb_nconst_88;nome_corretto_imdb_88;imdb_action_88;imdb_nconst_90;nome_corretto_imdb_90;imdb_action_90;imdb_nconst_92;nome_corretto_imdb_92;imdb_action_92;imdb_nconst_94;nome_corretto_imdb_94;imdb_action_94;imdb_nconst_96;nome_corretto_imdb_96;imdb_action_96;imdb_nconst_98;nome_corretto_imdb_98;imdb_action_98;imdb_nconst_99;nome_corretto_imdb_99;imdb_action_99;HUMAN nome imdb corretto;HUMAN codice imdb corretto
DEBORAH FINE;TRUE;U.S. Production Liaison and Research;Additional Crew;Apocalypse Now;deborah fine;;nm0277601;Deborah Fine;A;nm0277601;Deborah Fine;A;nm0277601;Deborah Fine;A;nm0277601;Deborah Fine;A;nm0277601;Deborah Fine;A;nm0277601;Deborah Fine;A;nm0277601;Deborah Fine;A;;
Daniele Massa;TRUE;Team Cattleya;Additional Crew;Romanzo criminale S01E01;daniele massa;;nm3312446;Daniele Massa;A;nm3312446;Daniele Massa;A;nm3312446;Daniele Massa;A;nm3312446;Daniele Massa;A;nm3312446;Daniele Massa;A;nm3312446;Daniele Massa;A;nm3312446;Daniele Massa;A;;
Frédéric Daugeron;TRUE;Organisateur de fêtes;Additional Crew;Amelie;frederic daugeron;;nm0202288;Frédéric Daugeron;A;nm0202288;Frédéric Daugeron;A;nm0202288;Frédéric Daugeron;A;nm0202288;Frédéric Daugeron;A;nm0202288;Frédéric Daugeron;A;nm0202288;Frédéric Daugeron;A;nm0202288;Frédéric Daugeron;A;;
Frank Niermann;TRUE;Stagiaires;Additional Crew;Amelie;frank niermann;;;Frank Niermann;X;;Frank Niermann;X;;Frank Niermann;X;nm1220043;Frank Niemann;M;nm1220043;Frank Niemann;M;;Frank Niermann;X;;Frank Niermann;X;;
ANTONIO MOURELOS;TRUE;Coach;Additional Crew;El desorden que dejas S01E03;antonio mourelos;;;ANTONIO MOURELOS;X;;ANTONIO MOURELOS;X;;ANTONIO MOURELOS;X;;ANTONIO MOURELOS;X;;ANTONIO MOURELOS;X;;ANTONIO MOURELOS;X;;ANTONIO MOURELOS;X;;
Sébastien Guyomard;TRUE;Technicien Photomaton;Additional Crew;Amelie;sebastien guyomard;;nm1220858;Sébastien Guyomard;A;nm1220858;Sébastien Guyomard;A;nm1220858;Sébastien Guyomard;A;nm1220858;Sébastien Guyomard;A;nm1220858;Sébastien Guyomard;A;nm1220858;Sébastien Guyomard;A;nm1220858;Sébastien Guyomard;A;;
Elisa Boltri;TRUE;Team Cattleya;Additional Crew;Romanzo criminale S01E01;elisa boltri;;nm2448716;Elisa Boltri;A;nm2448716;Elisa Boltri;A;nm2448716;Elisa Boltri;A;nm2448716;Elisa Boltri;A;nm2448716;Elisa Boltri;A;nm2448716;Elisa Boltri;A;nm2448716;Elisa Boltri;A;;
KATHERINE JONES;TRUE;Medical Artist;Additional Crew;Fight Club;katherine jones;;nm2645706;Katherine Jones;A;nm2645706;Katherine Jones;A;nm2645706;Katherine Jones;A;nm2645706;Katherine Jones;A;nm2645706;Katherine Jones;A;nm2645706;Katherine Jones;A;nm2645706;Katherine Jones;A;;
ANA TRIÑANES;TRUE;Lingüista;Additional Crew;El desorden que dejas S01E03;ana trinanes;;;ANA TRIÑANES;X;;ANA TRIÑANES;X;;ANA TRIÑANES;X;;ANA TRIÑANES;X;;ANA TRIÑANES;X;;ANA TRIÑANES;X;;ANA TRIÑANES;X;;
Erica Negri;TRUE;Team Cattleya;Additional Crew;Romanzo criminale S01E01;erica negri;;nm4798877;Erica Negri;A;nm4798877;Erica Negri;A;nm4798877;Erica Negri;A;nm4798877;Erica Negri;A;nm4798877;Erica Negri;A;nm4798877;Erica Negri;A;nm4798877;Erica Negri;A;;
