nome;is_person;role_detail;role_group;numero_episodio
ADRIANA OLASIO;TRUE;ASSISTENTE;Editorial Department;8 1-2
ALBERTO BARTOLOMEI;TRUE;FONICI;Sound Department;8 1-2
ALBINO MORANDIN;TRUE;SEGR. DI PRODUZ.;Production Department;8 1-2
ALESSANDRO von NORMANN;TRUE;II DIRETTORE;Second Unit Directors or Assistant Directors;8 1-2
ANGELO IACONO;TRUE;SEGR. DI PRODUZ.;Production Department;8 1-2
ANGELO RIZZOLI;TRUE;PRESENTA;Producers;8 1-2
ANGELO RIZZOLI;TRUE;PRODOTTO DA;Producers;8 1-2
ANNIBALE NINCHI;TRUE;E CON;Cast;8 1-2
ANNIE GORASSINI;TRUE;;Cast;8 1-2
ANOUK AIMEE;TRUE;;Cast;8 1-2
BARBARA STEELE;TRUE;;Cast;8 1-2
BRUNELLO RONDI;TRUE;COLLABORAZIONE ARTISTICA;Additional Crew;8 1-2
BRUNELLO RONDI;TRUE;SCENEGGIATURA;Writers;8 1-2
BRUNO AGOSTINI;TRUE;;Cast;8 1-2
C A M;FALSE;EDIZIONI MUSICALI;Miscellaneous Companies;8 1-2
CATERINA BORATTO;TRUE;;Cast;8 1-2
CESARINO MICELI PICARDI;TRUE;;Cast;8 1-2
CINERIZ;FALSE;UNA PRODUZIONE;Production Companies;8 1-2
CLARA POGGI;TRUE;CAPO SARTA;Costume and Wardrobe Department;8 1-2
CLAUDIA CARDINALE;TRUE;;Cast;8 1-2
CLEMENTE FRACASSI;TRUE;ORGANIZZAZIONE GENERALE;Production Managers;8 1-2
CORINTH FILMS;FALSE;;Production Companies;8 1-2
DUPONT;FALSE;NEGATIVI;Miscellaneous Companies;8 1-2
EDRA GALE;TRUE;;Cast;8 1-2
ELISABETTA CATALANO;TRUE;;Cast;8 1-2
ENNIO FLAIANO;TRUE;SCENEGGIATURA;Writers;8 1-2
ENNIO FLAIANO;TRUE;SOGGETTO;Writers;8 1-2
ENZO VERZINI;TRUE;TECNICO;Additional Crew;8 1-2
EUGENE WALTER;TRUE;;Cast;8 1-2
FEDERICO FELLINI;TRUE;DI;Directors;8 1-2
FEDERICO FELLINI;TRUE;IDEATO E DIRETTO DA;Directors;8 1-2
FEDERICO FELLINI;TRUE;SCENEGGIATURA;Writers;8 1-2
FEDERICO FELLINI;TRUE;SOGGETTO;Writers;8 1-2
FRANCESCO ALUIGI;TRUE;ASSISTENTI;Second Unit Directors or Assistant Directors;8 1-2
FRANCESCO RIGAMONTI;TRUE;;Cast;8 1-2
FRAZIER RIPPY;TRUE;;Cast;8 1-2
GEORGIA SIMMONS;TRUE;;Cast;8 1-2
GIANNI DI VENANZO;TRUE;DIRETTORE DELLA FOTOGRAFIA;Cinematographers;8 1-2
GILDA DAHLBERG;TRUE;;Cast;8 1-2
GIUDITTA RISSONE;TRUE;E CON;Cast;8 1-2
GIULIO PARADISI;TRUE;ASSISTENTI;Second Unit Directors or Assistant Directors;8 1-2
GIULIO PARADISI;TRUE;;Cast;8 1-2
GUIDARINO GUIDI;TRUE;AIUTO REG.;Second Unit Directors or Assistant Directors;8 1-2
GUIDO ALBERTI;TRUE;;Cast;8 1-2
HAZEL ROGERS;TRUE;;Cast;8 1-2
HEDY VESSEL;TRUE;;Cast;8 1-2
IAN DALLAS;TRUE;;Cast;8 1-2
ISTITUTO NAZIONALE LUCE;FALSE;SVILUPPO E STAMPA;Miscellaneous Companies;8 1-2
JANUS FILMS;FALSE;;Production Companies;8 1-2
JEAN ROUGEUL;TRUE;;Cast;8 1-2
LEO CATOZZO;TRUE;MONTAGGIO;Editors;8 1-2
LUCIANO RICCERI;TRUE;ASS. SCENOGRAFO;Art Department;8 1-2
MADELEINE LEBEAU;TRUE;;Cast;8 1-2
MARCELLO MASTROIANNI;TRUE;CON;Cast;8 1-2
MARCO GEMINI;TRUE;;Cast;8 1-2
MARIO BASILI;TRUE;ISPETTORE;Production Managers;8 1-2
MARIO CONOCCHIA;TRUE;;Cast;8 1-2
MARIO FARAONI;TRUE;FONICI;Sound Department;8 1-2
MARIO PISU;TRUE;;Cast;8 1-2
MARIO TARCHETTI;TRUE;;Cast;8 1-2
MARISA COLOMBER;TRUE;;Cast;8 1-2
MARK HERRON;TRUE;;Cast;8 1-2
MARY INDOVINO;TRUE;;Cast;8 1-2
MINO DORO;TRUE;;Cast;8 1-2
MIRELLA GAMACCHIO;TRUE;SEGR. ED.;Script and Continuity Department;8 1-2
NADINE SANDERS;TRUE;;Cast;8 1-2
NEIL ROBINSON;TRUE;;Cast;8 1-2
NELLO MENICONI;TRUE;DIRETTORE DI PRODUZIONE;Production Managers;8 1-2
NINO ROTA;TRUE;MUSICA;Composers;8 1-2
ORIETTA NASALLI ROCCA;TRUE;ASS. COSTUMI;Costume and Wardrobe Department;8 1-2
