nome;is_person;role_detail;role_group;numero_episodio;dubbing_type;imdb_nconst;nome_corretto_imdb;imdb_action
DEBBY TRUTNIK;True;Assistant to David Lynch;Additional Crew;Twin Peaks S01E03;;nm0874463;Debby Trutnik;A
BENJAMIN CONABLE;True;production assistants;Additional Crew;Eternal Sunshine of the Spotless Mind;;;BENJAMIN CONABLE;X
LISSY KNAUER;True;DAILIES COORDINATOR;Additional Crew;Dark S01E09;;nm2104424;Lissy Knauer;A
CLEMENS SCHMID;True;DAILIES SUPERVISOR;Additional Crew;Dark S01E09;;;CLEMENS SCHMID;X
FRIEDA OBERLIN;True;HEAD OF POSTPRODUCTION;Additional Crew;Dark S01E09;;;FRIEDA OBERLIN;X
BERNIE GREINER;True;DIGITAL COLORISTS;Additional Crew;Dark S01E09;;;BERNIE GREINER;X
THOMAS WECKENMANN;True;DATA IO;Additional Crew;Dark S01E09;;;THOMAS WECKENMANN;X
SVEN NURI;True;POST-PRODUCTION SUPERVISOR;Additional Crew;Dark S01E09;;;SVEN NURI;X
STEFFEN PAUL;True;DIGITAL COLORISTS;Additional Crew;Dark S01E09;;;STEFFEN PAUL;X
ASTA CANCINGERIENE;True;Unit Nurse;Additional Crew;Chernobyl S01E01;;nm1505736;Asta Cancingeriene;A
HEIDI EL KHOLTI;True;Accounting Assistant;Additional Crew;Se7en;;nm0252691;Hedi El Kholti;M
MARIA NORMAN;True;Assistant to Mr. Kopelson;Additional Crew;Se7en;;;MARIA NORMAN;X
QUENTIN PIERRE;True;Assistant to Mr. Freeman;Additional Crew;Se7en;;nm0682652;Quentin Pierre;A
RACHEL SCHADT;True;Assistant to Mr. Fincher;Additional Crew;Se7en;;;RACHEL SCHADT;X
JANET STIRNER;True;Production Secretary;Additional Crew;Se7en;;;JANET STIRNER;X
BRAD DAVIS;True;Payroll Accountant;Additional Crew;Se7en;;;BRAD DAVIS;X
BASIL GRILLO;True;Office Staff Assistants;Additional Crew;Se7en;;;BASIL GRILLO;X
SKAISTE BERZINYTE;True;Set Production Assistants;Additional Crew;Chernobyl S01E01;;;SKAISTE BERZINYTE;X
KATHARINA WREDE;True;SET DEC PA;Additional Crew;Dark S01E09;;;KATHARINA WREDE;X
Isabelle Sauvanon;True;Attachée de Presse;Additional Crew;Amelie;;nm0767170;Isabelle Sauvanon;A
Véronique Lambert de Guise;True;Documentaliste;Additional Crew;Amelie;;nm2410264;Véronique Lambert de Guise;A
PETE MARTINEZ;True;;Additional Crew;Se7en;;nm0553657;Pete Martinez;A
Michel Folco;True;d'après la collection originale de;Additional Crew;Amelie;;;Michel Folco;X
MICHAEL CUTLER;True;Office Staff Assistant;Additional Crew;Se7en;;nm1653984;Michael Cutler;A
FRED GROSSMAN;True;Accountant;Additional Crew;Se7en;;nm0343639;Fred Grossman;A
LUKAS LUKOSEVICIUS;True;Set Production Assistants;Additional Crew;Chernobyl S01E01;;nm7287600;Lukas Lukosevicius;A
Sébastien Guyomard;True;Technicien Photomaton;Additional Crew;Amelie;;nm1220858;Sébastien Guyomard;A
Zuzanna Noirbert;True;Stagiaires;Additional Crew;Amelie;;;Zuzanna Noirbert;X
JASMIN OTT;True;DAILY SET DEC BUYERS;Additional Crew;Dark S01E09;;;JASMIN OTT;X
YVES BOCZEK;True;STORE MANAGER;Additional Crew;Dark S01E09;;nm3767653;Yves Boczek;A
Stéphane Lefebvre;True;Stagiaires;Additional Crew;Amelie;;;Stéphane Lefebvre;X
Christophe Henry;True;Stagiaires;Additional Crew;Amelie;;;Christophe Henry;X
Cyril Dusseaux;True;Stagiaires;Additional Crew;Amelie;;;Cyril Dusseaux;X
Nadia Le Bayon;True;Stagiaires;Additional Crew;Amelie;;;Nadia Le Bayon;X
Juliette Binaud;True;Stagiaires;Additional Crew;Amelie;;;Juliette Binaud;X
ANNA RITA NUNNARI DELL'ATTE;True;Office Staff Assistants;Additional Crew;Se7en;;;ANNA RITA NUNNARI DELL'ATTE;X
JUGITA PINTUKAITE-RAKSTIENE;True;Lithuanian Health & Safety Advisor;Additional Crew;Chernobyl S01E01;;;JUGITA PINTUKAITE-RAKSTIENE;X
HARRIS LIEBOWITZ;True;AZ Facility Staff;Additional Crew;Apocalypse Now;;;HARRIS LIEBOWITZ;X
BRIAN SARVIS;True;AZ Facility Staff;Additional Crew;Apocalypse Now;;;BRIAN SARVIS;X
HOWIE STEIN;True;AZ Facility Staff;Additional Crew;Apocalypse Now;;;HOWIE STEIN;X
NICK BELL;True;production assistants;Additional Crew;Eternal Sunshine of the Spotless Mind;;;NICK BELL;X
PATRICK MCDONALD;True;key set production assistant;Additional Crew;Eternal Sunshine of the Spotless Mind;;;PATRICK MCDONALD;X
DOTAN BONEN;True;security for mr. carrey;Additional Crew;Eternal Sunshine of the Spotless Mind;;nm0094278;Dotan Bonen;A
JAMES LEVINE;True;AZ Facility Staff;Additional Crew;Apocalypse Now;;;JAMES LEVINE;X
ALEX BARNOYA;True;First Aid;Additional Crew;Se7en;;nm0056104;Alex Barnoya;A
YVON LUCAS;True;Special Color Consultant;Additional Crew;Se7en;;;YVON LUCAS;X
DALE CALDWELL;True;Color Timer;Additional Crew;Se7en;;;DALE CALDWELL;X
LEE TUCKER;True;Preview Technical Supervisor;Additional Crew;Se7en;;;LEE TUCKER;X
JAIME OLMEDO;True;Foto Fija;Additional Crew;El desorden que dejas S01E03;;;JAIME OLMEDO;X
JAIRO IGLESIAS;True;Making Of;Additional Crew;El desorden que dejas S01E03;;;JAIRO IGLESIAS;X
ALEX ZOPPA;True;interns;Additional Crew;Eternal Sunshine of the Spotless Mind;;nm1635454;Alex Zoppa;A
BUZ KRAMER;True;Craft Service;Additional Crew;Se7en;;nm0469470;Buzz Kramer;M
KRISTINA MECINSKKAITE;True;Lithuanian Health & Safety Consultant;Additional Crew;Chernobyl S01E01;;;KRISTINA MECINSKKAITE;X
ROBERT KNOX;True;AZ Facility Staff;Additional Crew;Apocalypse Now;;nm5961475;Robert Knox;A
ETHAN DERNER;True;AZ Facility Staff;Additional Crew;Apocalypse Now;;;ETHAN DERNER;X
MAC McGEARY;True;Health & Safety Advisors;Additional Crew;Chernobyl S01E01;;;MAC McGEARY;X
JAMES COX;True;Health & Safety Advisors;Additional Crew;Chernobyl S01E01;;;JAMES COX;X
LOLA KNOBLACH;True;DI SUPERVISOR;Additional Crew;Dark S01E09;;nm2804727;Lola Knoblach;A
JOHANNES RÖCKL;True;DI ENGINEERS;Additional Crew;Dark S01E09;;;JOHANNES RÖCKL;X
ALEXANDER FALK;True;TECHNICAL DIRECTOR;Additional Crew;Dark S01E09;;;ALEXANDER FALK;X
KAY-UWE SCHUCHERT;True;DI ENGINEERS;Additional Crew;Dark S01E09;;;KAY-UWE SCHUCHERT;X
GLENN KASPRZYCKI;True;AZ Facility Staff;Additional Crew;Apocalypse Now;;nm1554287;Glenn Kasprzycki;A
CHRISTIAN TRÖGER;True;ONLINE & FINISHING ARTISTS;Additional Crew;Dark S01E09;;;CHRISTIAN TRÖGER;X
DALE GRAHN;True;Color Timer;Additional Crew;Apocalypse Now;;nm10557807;Grant Dale;M
CATHERINE CRAIG;True;Archivists;Additional Crew;Apocalypse Now;;;CATHERINE CRAIG;X
ANAHID NAZARIAN;True;Archivists;Additional Crew;Apocalypse Now;;nm0623355;Anahid Nazarian;A
KATRINA WHALEN;True;post production assistants;Additional Crew;Eternal Sunshine of the Spotless Mind;;;KATRINA WHALEN;X
MATHILDA BARCHMANN;True;ONLINE & FINISHING ARTISTS;Additional Crew;Dark S01E09;;;MATHILDA BARCHMANN;X
SIEGFRIED OBLINGER;True;TECHNICAL SUPERVISOR;Additional Crew;Dark S01E09;;;SIEGFRIED OBLINGER;X
ANGELA BERESFORD;True;post production assistants;Additional Crew;Eternal Sunshine of the Spotless Mind;;nm1819776;Angela Beresford;A
Thomas Parnet;True;Stagiaires;Additional Crew;Amelie;;nm0663220;Thomas Parnet;A
Céline de Seynes;True;;Additional Crew;Amelie;;;Céline de Seynes;X
Sophie Vermersch;True;Avec la collaboration de;Additional Crew;Amelie;;;Sophie Vermersch;X
BUZ PRESOCK;True;Set Production Assistants;Additional Crew;Fight Club;;nm0696206;Buz Presock;A
ROCCO ARNOT;True;2ND UNIT SET RUNNERS;Additional Crew;Dark S01E09;;nm9240763;Rocco Arndt;M
