nome;is_person;role_detail;role_group;numero_episodio;dubbing_type;imdb_nconst;nome_corretto_imdb;imdb_action;codice_corretto_imdb_umano;nome_corretto_umano
ADRIANA OLASIO;TRUE;ASSISTENTE;Editorial Department;8 1-2;;nm0645976;Adriana Olasio;A;;
ALBERTO BARTOLOMEI;TRUE;FONICI;Sound Department;8 1-2;;nm0059044;Alberto Bartolomei;A;;
ALBINO MORANDIN;TRUE;SEGR. DI PRODUZ.;Production Managers;8 1-2;;nm0603038;Albino Morandin;A;;
ANGELO IACONO;TRUE;SEGR. DI PRODUZ.;Production Managers;8 1-2;;nm0406231;Angelo Iacono;A;;
ANGELO RIZZOLI;TRUE;PRESENTA;Producers;8 1-2;;nm0729939;Angelo Rizzoli;A;;
ANGELO RIZZOLI;TRUE;PRODOTTO DA;Producers;8 1-2;;nm0729939;Angelo Rizzoli;A;;
ANNIBALE NINCHI;TRUE;E CON;Cast;8 1-2;;nm0632423;Annibale Ninchi;A;;
ANNIE GORASSINI;TRUE;;Cast;8 1-2;;nm0329780;Annie Gorassini;A;;
ANOUK AIMEE;TRUE;;Cast;8 1-2;;nm0000733;Anouk Aimée;A;;
BARBARA STEELE;TRUE;;Cast;8 1-2;;nm0824489;Barbara Steele;A;;
BRUNELLO RONDI;TRUE;SCENEGGIATURA;Writers;8 1-2;;nm0740021;Brunello Rondi;A;;
BRUNO AGOSTINI;TRUE;;Cast;8 1-2;;nm0013204;Bruno Agostini;A;;
CATERINA BORATTO;TRUE;;Cast;8 1-2;;nm0095950;Caterina Boratto;A;;
CESARINO MICELI PICARDI;TRUE;;Cast;8 1-2;;nm0681428;Cesarino Miceli Picardi;A;;
CLARA POGGI;TRUE;CAPO SARTA;Costume and Wardrobe Department;8 1-2;;nm0975093;Clara Poggi;A;;
CLAUDIA CARDINALE;TRUE;;Cast;8 1-2;;nm0001012;Claudia Cardinale;A;;
CLEMENTE FRACASSI;TRUE;ORGANIZZAZIONE GENERALE;Production Managers;8 1-2;;nm0289474;Clemente Fracassi;A;;
ELISABETTA CATALANO;TRUE;;Cast;8 1-2;;nm0145815;Elisabetta Catalano;A;;
ENNIO FLAIANO;TRUE;SCENEGGIATURA;Writers;8 1-2;;nm0280919;Ennio Flaiano;A;;
ENNIO FLAIANO;TRUE;SOGGETTO;Writers;8 1-2;;nm0280919;Ennio Flaiano;A;;
ENZO VERZINI;TRUE;TECNICO;Additional Crew;8 1-2;;nm0895141;Enzo Verzini;A;;
FEDERICO FELLINI;TRUE;IDEATO E DIRETTO DA;Directors;8 1-2;;nm0000019;Federico Fellini;A;;
FEDERICO FELLINI;TRUE;DI;Directors;8 1-2;;nm0000019;Federico Fellini;A;;
FEDERICO FELLINI;TRUE;SOGGETTO;Writers;8 1-2;;nm0000019;Federico Fellini;A;;
FEDERICO FELLINI;TRUE;SCENEGGIATURA;Writers;8 1-2;;nm0000019;Federico Fellini;A;;
